"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"10/05/2026 04:30:00 - 10/05/2026 04:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 04:45:00 - 10/05/2026 05:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 05:00:00 - 10/05/2026 05:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 05:15:00 - 10/05/2026 05:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 05:30:00 - 10/05/2026 05:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 05:45:00 - 10/05/2026 06:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 06:00:00 - 10/05/2026 06:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 06:15:00 - 10/05/2026 06:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 06:30:00 - 10/05/2026 06:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 06:45:00 - 10/05/2026 07:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 07:00:00 - 10/05/2026 07:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 07:15:00 - 10/05/2026 07:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 07:30:00 - 10/05/2026 07:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 07:45:00 - 10/05/2026 08:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 08:00:00 - 10/05/2026 08:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 08:15:00 - 10/05/2026 08:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 08:30:00 - 10/05/2026 08:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 08:45:00 - 10/05/2026 09:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 09:00:00 - 10/05/2026 09:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 09:15:00 - 10/05/2026 09:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 09:30:00 - 10/05/2026 09:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 09:45:00 - 10/05/2026 10:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 10:00:00 - 10/05/2026 10:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 10:15:00 - 10/05/2026 10:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 10:30:00 - 10/05/2026 10:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 10:45:00 - 10/05/2026 11:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 11:00:00 - 10/05/2026 11:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 11:15:00 - 10/05/2026 11:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 11:30:00 - 10/05/2026 11:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 11:45:00 - 10/05/2026 12:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 12:00:00 - 10/05/2026 12:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 12:15:00 - 10/05/2026 12:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 12:30:00 - 10/05/2026 12:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 12:45:00 - 10/05/2026 13:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 13:00:00 - 10/05/2026 13:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 13:15:00 - 10/05/2026 13:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 13:30:00 - 10/05/2026 13:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 13:45:00 - 10/05/2026 14:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 14:00:00 - 10/05/2026 14:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 14:15:00 - 10/05/2026 14:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 14:30:00 - 10/05/2026 14:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 14:45:00 - 10/05/2026 15:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 15:00:00 - 10/05/2026 15:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 15:15:00 - 10/05/2026 15:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 15:30:00 - 10/05/2026 15:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 15:45:00 - 10/05/2026 16:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 16:00:00 - 10/05/2026 16:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 16:15:00 - 10/05/2026 16:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 16:30:00 - 10/05/2026 16:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 16:45:00 - 10/05/2026 17:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 17:00:00 - 10/05/2026 17:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 17:15:00 - 10/05/2026 17:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 17:30:00 - 10/05/2026 17:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 17:45:00 - 10/05/2026 18:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 18:00:00 - 10/05/2026 18:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 18:15:00 - 10/05/2026 18:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 18:30:00 - 10/05/2026 18:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 18:45:00 - 10/05/2026 19:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 19:00:00 - 10/05/2026 19:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 19:15:00 - 10/05/2026 19:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 19:30:00 - 10/05/2026 19:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 19:45:00 - 10/05/2026 20:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 20:00:00 - 10/05/2026 20:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 20:15:00 - 10/05/2026 20:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 20:30:00 - 10/05/2026 20:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 20:45:00 - 10/05/2026 21:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 21:00:00 - 10/05/2026 21:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 21:15:00 - 10/05/2026 21:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 21:30:00 - 10/05/2026 21:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 21:45:00 - 10/05/2026 22:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 22:00:00 - 10/05/2026 22:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 22:15:00 - 10/05/2026 22:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 22:30:00 - 10/05/2026 22:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 22:45:00 - 10/05/2026 23:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 23:00:00 - 10/05/2026 23:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 23:15:00 - 10/05/2026 23:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 23:30:00 - 10/05/2026 23:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 23:45:00 - 11/05/2026 00:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 00:00:00 - 10/05/2026 00:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","6789.79"
"10/05/2026 00:15:00 - 10/05/2026 00:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","6781.41"
"10/05/2026 00:30:00 - 10/05/2026 00:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","6777.24"
"10/05/2026 00:45:00 - 10/05/2026 01:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","6792.41"
"10/05/2026 01:00:00 - 10/05/2026 01:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","6749.61"
"10/05/2026 01:15:00 - 10/05/2026 01:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","6708.51"
"10/05/2026 01:30:00 - 10/05/2026 01:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","6718.84"
"10/05/2026 01:45:00 - 10/05/2026 02:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","6722.16"
"10/05/2026 02:00:00 - 10/05/2026 02:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","6727.89"
"10/05/2026 02:15:00 - 10/05/2026 02:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","6721.35"
"10/05/2026 02:30:00 - 10/05/2026 02:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","6786.02"
"10/05/2026 02:45:00 - 10/05/2026 03:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","6802.70"
"10/05/2026 03:00:00 - 10/05/2026 03:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","6800.65"
"10/05/2026 03:15:00 - 10/05/2026 03:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","6792.01"
"10/05/2026 03:30:00 - 10/05/2026 03:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","6794.18"
"10/05/2026 03:45:00 - 10/05/2026 04:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","6789.13"
"10/05/2026 04:00:00 - 10/05/2026 04:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","6795.70"
"10/05/2026 04:15:00 - 10/05/2026 04:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","6791.47"
"10/05/2026 04:30:00 - 10/05/2026 04:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","6806.06"
